"Tabela 289 - Quantidade produzida e valor da produção na extração vegetal, por tipo de produto extrativo"
"Variável - Quantidade produzida na extração vegetal (Toneladas)"
"Unidade da Federação e Município","Ano x Tipo de produto extrativo"
"Unidade da Federação e Município","2014","2015","2016","2017","2018"
"Unidade da Federação e Município","8.1 - Babaçu (amêndoa)","8.1 - Babaçu (amêndoa)","8.1 - Babaçu (amêndoa)","8.1 - Babaçu (amêndoa)","8.1 - Babaçu (amêndoa)"
"Maranhão","79305","73640","57400","50476","47116"
"Açailândia (MA)","-","-","-","-","-"
"Afonso Cunha (MA)","72","70","67","56","49"
"Água Doce do Maranhão (MA)","-","-","-","-","-"
"Alcântara (MA)","-","-","-","-","-"
"Aldeias Altas (MA)","569","359","341","272","248"
"Altamira do Maranhão (MA)","125","124","60","49","42"
"Alto Alegre do Maranhão (MA)","1200","1081","660","607","534"
"Alto Alegre do Pindaré (MA)","599","488","425","406","378"
"Alto Parnaíba (MA)","-","-","-","-","-"
"Amapá do Maranhão (MA)","-","-","-","-","-"
"Amarante do Maranhão (MA)","13","12","12","18","19"
"Anajatuba (MA)","85","85","85","71","71"
"Anapurus (MA)","58","44","36","26","20"
"Apicum-Açu (MA)","4","4","4","3","2"
"Araguanã (MA)","184","162","146","139","128"
"Araioses (MA)","-","-","-","-","-"
"Arame (MA)","-","-","-","-","-"
"Arari (MA)","86","73","18","20","43"
"Axixá (MA)","-","-","-","-","-"
"Bacabal (MA)","3250","3080","2860","2317","1900"
"Bacabeira (MA)","34","28","27","18","19"
"Bacuri (MA)","2","1","1","1","1"
"Bacurituba (MA)","34","31","29","24","20"
"Balsas (MA)","-","-","-","-","13"
"Barão de Grajaú (MA)","7","6","6","5","6"
"Barra do Corda (MA)","-","-","-","-","-"
"Barreirinhas (MA)","-","-","-","-","-"
"Belágua (MA)","1","1","1","1","0"
"Bela Vista do Maranhão (MA)","166","136","120","114","100"
"Benedito Leite (MA)","4","3","3","3","3"
"Bequimão (MA)","61","55","50","40","32"
"Bernardo do Mearim (MA)","1694","1639","1359","1148","1108"
"Boa Vista do Gurupi (MA)","-","-","-","-","-"
"Bom Jardim (MA)","701","596","526","500","468"
"Bom Jesus das Selvas (MA)","-","-","-","-","-"
"Bom Lugar (MA)","2880","2678","1080","929","771"
"Brejo (MA)","150","112","95","82","73"
"Brejo de Areia (MA)","240","228","180","146","140"
"Buriti (MA)","110","83","75","70","58"
"Buriti Bravo (MA)","175","114","97","73","64"
"Buriticupu (MA)","-","-","-","-","-"
"Buritirana (MA)","-","-","-","-","4"
"Cachoeira Grande (MA)","-","-","-","-","-"
"Cajapió (MA)","2","1","1","5","4"
"Cajari (MA)","795","715","86","82","98"
"Campestre do Maranhão (MA)","-","-","-","-","9"
