"X","Producao","valor","Ano"
1,"Açaí",13897,2014
2,"Mangaba",2,2014
3,"Aromáticos_Medicinais_Tóxicos_Corantes",313,2014
4,"Jaborandi.folha.",217,2014
5,"outros",96,2014
6,"Ceras",566,2014
7,"Carnaúba.cera.",48,2014
8,"Carnaúba.pó.",518,2014
9,"Fibras",163,2014
10,"Buriti",148,2014
11,"Carnaúba",8,2014
12,"Piaçava",7,2014
13,"Outros",0,2014
14,"Gomas_não_elasticas",0,2014
15,"Carvão_vegetal",282588,2014
16,"Lenha",2482710,2014
17,"Madeira.toras.",180503,2014
18,"Oleaginosos",79486,2014
19,"Babaçu.amêndo.",79305,2014
20,"Tucum",163,2014
21,"outros.1",18,2014
22,"Açaí",14864,2015
23,"Mangaba",2,2015
24,"Aromáticos_Medicinais_Tóxicos_Corantes",285,2015
25,"Jaborandi.folha.",201,2015
26,"outros",84,2015
27,"Ceras",569,2015
28,"Carnaúba.cera.",49,2015
29,"Carnaúba.pó.",520,2015
30,"Fibras",158,2015
31,"Buriti",135,2015
32,"Carnaúba",8,2015
33,"Piaçava",6,2015
34,"Outros",9,2015
35,"Gomas_não_elasticas",0,2015
36,"Carvão_vegetal",229318,2015
37,"Lenha",2329822,2015
38,"Madeira.toras.",138803,2015
39,"Oleaginosos",73824,2015
40,"Babaçu.amêndo.",73640,2015
41,"Tucum",166,2015
42,"outros.1",17,2015
43,"Açaí",17508,2016
44,"Mangaba",2,2016
45,"Aromáticos_Medicinais_Tóxicos_Corantes",254,2016
46,"Jaborandi.folha.",194,2016
47,"outros",60,2016
48,"Ceras",562,2016
49,"Carnaúba.cera.",0,2016
50,"Carnaúba.pó.",562,2016
51,"Fibras",154,2016
52,"Buriti",134,2016
53,"Carnaúba",7,2016
54,"Piaçava",5,2016
55,"Outros",7,2016
56,"Gomas_não_elasticas",0,2016
57,"Carvão_vegetal",160851,2016
58,"Lenha",2094874,2016
59,"Madeira.toras.",110782,2016
60,"Oleaginosos",57575,2016
61,"Babaçu.amêndo.",57400,2016
62,"Tucum",161,2016
63,"outros.1",15,2016
64,"Açaí",18330,2017
65,"Mangaba",5,2017
66,"Aromáticos_Medicinais_Tóxicos_Corantes",156,2017
67,"Jaborandi.folha.",156,2017
68,"outros",0,2017
69,"Ceras",631,2017
70,"Carnaúba.cera.",3,2017
71,"Carnaúba.pó.",628,2017
72,"Fibras",134,2017
73,"Buriti",122,2017
74,"Carnaúba",6,2017
75,"Piaçava",4,2017
76,"Outros",1,2017
77,"Gomas_não_elasticas",0,2017
78,"Carvão_vegetal",131663,2017
79,"Lenha",1920938,2017
80,"Madeira.toras.",86299,2017
81,"Oleaginosos",50655,2017
82,"Babaçu.amêndo.",50476,2017
83,"Tucum",164,2017
84,"outros.1",14,2017
